hs6,sic87dd,share,weights_method
160220,2011,.78020173,"trade-based"
160220,2015,.21979825,"trade-based"
160231,2015,1,"no weights needed"
160232,2015,1,"no weights needed"
160239,2015,1,"no weights needed"
160241,2011,1,"no weights needed"
160242,2011,1,"no weights needed"
160249,2011,1,"no weights needed"
160250,2011,1,"no weights needed"
160290,2011,1,"no weights needed"
160300,2011,.51799965,"trade-based"
160300,2091,.48200032,"trade-based"
160411,2091,1,"no weights needed"
160412,2091,1,"no weights needed"
160413,2091,1,"no weights needed"
160414,2091,1,"no weights needed"
160415,2091,1,"no weights needed"
160416,2091,1,"no weights needed"
160419,2091,1,"no weights needed"
160420,912,.12195478,"trade-based"
160420,2091,.8780452,"trade-based"
160430,2091,1,"no weights needed"
160510,913,.24530637,"trade-based"
160510,2091,.75469363,"trade-based"
160520,912,.0071663097,"trade-based"
160520,913,.95470536,"trade-based"
160520,2091,.038128324,"trade-based"
160530,2091,1,"no weights needed"
160540,2091,1,"no weights needed"
160590,2091,1,"no weights needed"
170111,2062,1,"no weights needed"
170112,2062,1,"no weights needed"
170191,2062,.21311089,"trade-based"
170191,2087,.78688914,"trade-based"
170199,2062,1,"no weights needed"
170210,2023,1,"no weights needed"
170211,2023,1,"no weights needed"
170219,2023,1,"no weights needed"
170220,2099,1,"no weights needed"
170230,2046,1,"no weights needed"
170240,2046,1,"no weights needed"
170250,2046,1,"no weights needed"
170260,2046,1,"no weights needed"
170290,2062,1,"no weights needed"
170310,2062,1,"no weights needed"
170390,2062,1,"no weights needed"
170410,2067,1,"no weights needed"
170490,2064,1,"no weights needed"
180100,173,1,"no weights needed"
180200,173,1,"no weights needed"
180310,2066,1,"no weights needed"
180320,2066,1,"no weights needed"
180400,2066,1,"no weights needed"
180500,2066,1,"no weights needed"
180610,2066,1,"no weights needed"
180620,2066,1,"no weights needed"
180631,2066,1,"no weights needed"
180632,2066,1,"no weights needed"
180690,2066,1,"no weights needed"
190110,2023,1,"no weights needed"
190120,2045,1,"no weights needed"
190190,2022,.00026584495,"trade-based"
190190,2023,.74139535,"trade-based"
190190,2026,.078876495,"trade-based"
190190,2082,.079443716,"trade-based"
190190,2099,.10001858,"trade-based"
190211,2098,.44409904,"trade-based"
190211,2099,.55590099,"trade-based"
190219,2098,.86170906,"trade-based"
190219,2099,.13829096,"trade-based"
190220,2099,1,"no weights needed"
190230,2099,1,"no weights needed"
190240,2099,1,"no weights needed"
190300,2046,.52875918,"trade-based"
190300,2099,.47124082,"trade-based"
190410,2043,1,"no weights needed"
190420,2043,1,"no weights needed"
190430,2043,1,"no weights needed"
190490,2099,1,"no weights needed"
190510,2051,1,"no weights needed"
190520,2051,1,"no weights needed"
190530,2051,1,"no weights needed"
190531,2051,1,"no weights needed"
190532,2051,1,"no weights needed"
190540,2051,1,"no weights needed"
190590,2051,.90763903,"trade-based"
190590,2096,.072172865,"trade-based"
190590,2099,.020188112,"trade-based"
200110,2035,1,"no weights needed"
200120,2035,1,"no weights needed"
200190,2035,1,"no weights needed"
200210,2033,1,"no weights needed"
200290,2033,1,"no weights needed"
200310,2033,1,"no weights needed"
200320,2033,1,"no weights needed"
200390,2033,1,"no weights needed"
200410,2037,1,"no weights needed"
200490,2037,1,"no weights needed"
200510,2032,1,"no weights needed"
200520,2033,.15622401,"trade-based"
200520,2096,.84377599,"trade-based"
200530,2033,1,"no weights needed"
200540,2033,1,"no weights needed"
200551,2032,.00069502805,"trade-based"
200551,2033,.99930495,"trade-based"
200559,2033,1,"no weights needed"
200560,2033,1,"no weights needed"
200570,2033,1,"no weights needed"
200580,2033,1,"no weights needed"
200590,2033,1,"no weights needed"
200600,2064,1,"no weights needed"
200710,2032,1,"no weights needed"
200791,2033,1,"no weights needed"
200799,2033,1,"no weights needed"
200811,2068,.24633439,"trade-based"
200811,2099,.75366563,"trade-based"
200819,2068,.66901523,"trade-based"
200819,2099,.33098477,"trade-based"
200820,2033,1,"no weights needed"
200830,2033,1,"no weights needed"
200840,2033,1,"no weights needed"
200850,2033,1,"no weights needed"
200860,2033,1,"no weights needed"
200870,2033,1,"no weights needed"
200880,2033,1,"no weights needed"
200891,2033,1,"no weights needed"
200892,2033,.97483784,"trade-based"
200892,2043,.025162155,"trade-based"
200899,2033,1,"no weights needed"
200911,2037,1,"no weights needed"
200912,2037,1,"no weights needed"
200919,2037,1,"no weights needed"
200920,2037,1,"no weights needed"
200921,2037,1,"no weights needed"
200929,2037,1,"no weights needed"
200930,2037,1,"no weights needed"
200931,2037,1,"no weights needed"
200939,2037,1,"no weights needed"
200940,2037,1,"no weights needed"
200941,2037,1,"no weights needed"
200949,2037,1,"no weights needed"
200950,2033,1,"no weights needed"
200960,2033,.9288851,"trade-based"
200960,2037,.071114875,"trade-based"
200961,2033,.93575108,"trade-based"
200961,2037,.064248942,"trade-based"
200969,2033,.97244895,"trade-based"
200969,2037,.027551077,"trade-based"
200970,2037,1,"no weights needed"
200971,2037,1,"no weights needed"
200979,2037,1,"no weights needed"
200980,2033,.05734095,"trade-based"
200980,2037,.94265908,"trade-based"
200990,2037,1,"no weights needed"
210110,2095,1,"no weights needed"
210111,2095,1,"no weights needed"
210112,2095,1,"no weights needed"
210120,2099,1,"no weights needed"
210130,2095,1,"no weights needed"
210210,2099,1,"no weights needed"
210220,2099,1,"no weights needed"
210230,2099,1,"no weights needed"
210310,2035,1,"no weights needed"
210320,2033,1,"no weights needed"
210330,2035,.48152685,"trade-based"
210330,2099,.51847315,"trade-based"
210390,2035,.998541,"trade-based"
210390,2099,.0014590154,"trade-based"
210410,2032,.57302672,"trade-based"
210410,2034,.36752051,"trade-based"
210410,2091,.059452765,"trade-based"
210420,2032,1,"no weights needed"
210500,2024,1,"no weights needed"
210610,2075,1,"no weights needed"
210690,2023,.10249924,"trade-based"
210690,2037,.00069788919,"trade-based"
210690,2067,.078922153,"trade-based"
210690,2085,.0061481516,"trade-based"
210690,2087,.094604217,"trade-based"
210690,2099,.71712834,"trade-based"
220110,2086,1,"no weights needed"
220190,2097,1,"no weights needed"
220210,2086,1,"no weights needed"
220290,2026,.0084183756,"trade-based"
220290,2033,.004689428,"trade-based"
220290,2082,.10976868,"trade-based"
220290,2086,.87712353,"trade-based"
220300,2082,1,"no weights needed"
220410,2084,1,"no weights needed"
220421,2084,1,"no weights needed"
220429,2084,1,"no weights needed"
220430,2084,1,"no weights needed"
220510,2084,1,"no weights needed"
220590,2084,1,"no weights needed"
220600,2084,1,"no weights needed"
220710,2085,.025956767,"trade-based"
220710,2869,.97404325,"trade-based"
220720,2869,1,"no weights needed"
220810,2085,1,"no weights needed"
220820,2084,1,"no weights needed"
220830,2085,1,"no weights needed"
220840,2085,1,"no weights needed"
220850,2085,1,"no weights needed"
220860,2085,1,"no weights needed"
220870,2085,1,"no weights needed"
